case,repetition,structure,ns_per_lookup,metadata_bytes,bytes_per_managed_mib,checksum,elapsed_seconds
random-d100-r256-rs21-gs12,0,flat,2.9767,1048608,2048.06,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,flat_assume_mapped,2.8458,1048608,2048.06,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,two_level,3.9795,1052744,2056.14,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,radix,6.6424,1083488,2116.19,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,cached_radix,7.6682,1083744,2116.69,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_bounded,5.7134,1050824,2052.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_bounded_assume_mapped,4.0835,1050824,2052.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_bounded_trusted,3.9423,1050824,2052.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_bounded_branchless,4.8116,1050832,2052.41,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_overlay_checked,5.2646,1050824,2052.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_overlay_trusted,3.3076,1050824,2052.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_sparse,6.7342,1245384,2432.39,0xb7a9108205ed60d6,0.38067335300002014
random-d100-r256-rs21-gs12,0,memx_flat_fallback,2.8662,1048776,2048.39,0xb7a9108205ed60d6,0.38067335300002014
uniform-d0-r256-rs21-gs12,0,flat,2.9532,1048608,2048.06,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,flat_assume_mapped,2.8477,1048608,2048.06,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,two_level,3.9247,1052744,2056.14,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,radix,6.9901,1083488,2116.19,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,cached_radix,7.6733,1083744,2116.69,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_bounded,5.1562,2248,4.39,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_bounded_assume_mapped,2.2011,2248,4.39,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_bounded_trusted,2.1723,2248,4.39,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_bounded_branchless,3.0192,2256,4.41,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_overlay_checked,4.4746,2248,4.39,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_overlay_trusted,2.2027,2248,4.39,0x9db2929b7fb88c91,0.3119285040011164
uniform-d0-r256-rs21-gs12,0,memx_sparse,5.3611,196808,384.39,0x9db2929b7fb88c91,0.3119285040011164
random-d100-r256-rs21-gs12,1,flat,3.0289,1048608,2048.06,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,flat_assume_mapped,2.8526,1048608,2048.06,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,two_level,3.9756,1052744,2056.14,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,radix,6.7414,1083488,2116.19,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,cached_radix,7.4892,1083744,2116.69,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_bounded,5.5823,1050824,2052.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_bounded_assume_mapped,3.7652,1050824,2052.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_bounded_trusted,3.6319,1050824,2052.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_bounded_branchless,4.7992,1050832,2052.41,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_overlay_checked,5.2907,1050824,2052.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_overlay_trusted,6.2403,1050824,2052.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_sparse,8.2457,1245384,2432.39,0xb7a9108205ed60d6,0.4025433289934881
random-d100-r256-rs21-gs12,1,memx_flat_fallback,3.5345,1048776,2048.39,0xb7a9108205ed60d6,0.4025433289934881
uniform-d0-r256-rs21-gs12,1,flat,3.4156,1048608,2048.06,0x9db2929b7fb88c91,0.332322739996016
uniform-d0-r256-rs21-gs12,1,flat_assume_mapped,3.2145,1048608,2048.06,0x9db2929b7fb88c91,0.332322739996016
uniform-d0-r256-rs21-gs12,1,two_level,4.4973,1052744,2056.14,0x9db2929b7fb88c91,0.332322739996016
uniform-d0-r256-rs21-gs12,1,radix,6.978,1083488,2116.19,0x9db2929b7fb88c91,0.332322739996016
uniform-d0-r256-rs21-gs12,1,cached_radix,7.6994,1083744,2116.69,0x9db2929b7fb88c91,0.332322739996016
