case,structure,runs,median_ns,p95_ns,p99_ns,min_ns,max_ns,mad_ns,median_ci_low_ns,median_ci_high_ns,metadata_bytes,bytes_per_managed_mib,checksum
random-d100-r256-rs21-gs12,cached_radix,15,7.9074,8.5655,9.170300000000001,7.4527,9.3215,0.12120000000000086,7.672,8.026,1083744,2116.69,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,flat,15,3.1962,3.43344,3.503328,2.9629,3.5208,0.11680000000000001,3.0612,3.313,1048608,2048.06,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,flat_assume_mapped,15,3.0697,3.2151899999999998,3.2786380000000004,2.8458,3.2945,0.07869999999999999,2.9877,3.1484,1048608,2048.06,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_bounded,15,5.8711,6.21343,6.259405999999999,5.5823,6.2709,0.12809999999999988,5.763,5.9639,1050824,2052.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_bounded_assume_mapped,15,4.0405,4.19536,4.300192,3.746,4.3264,0.08289999999999997,3.8335,4.0971,1050824,2052.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_bounded_branchless,15,4.9659,5.20697,5.238834,4.6885,5.2468,0.14890000000000025,4.8116,5.0584,1050832,2052.41,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_bounded_trusted,15,3.7186,4.1464,4.17832,3.5243,4.1863,0.1102000000000003,3.6938,3.9423,1050824,2052.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_flat_fallback,15,3.0196,3.3805699999999996,3.5037139999999996,2.8662,3.5345,0.12069999999999981,2.9494,3.1403,1048776,2048.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_overlay_checked,15,5.6222,6.271329999999999,6.595066,5.2646,6.676,0.18150000000000066,5.4025,5.6992,1050824,2052.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_overlay_trusted,15,3.5354,4.621759999999998,5.916591999999999,3.3076,6.2403,0.10789999999999988,3.447,3.6524,1050824,2052.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,memx_sparse,15,6.4499,7.187649999999998,8.034089999999999,6.0277,8.2457,0.17270000000000074,6.2651,6.4995,1245384,2432.39,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,radix,15,6.8752,7.38231,7.421901999999999,6.5269,7.4318,0.15160000000000018,6.7414,7.1297,1083488,2116.19,0xb7a9108205ed60d6
random-d100-r256-rs21-gs12,two_level,15,4.2246,4.612690000000001,4.634138,3.9406,4.6395,0.07599999999999962,4.1493,4.2723,1052744,2056.14,0xb7a9108205ed60d6
uniform-d0-r256-rs21-gs12,cached_radix,15,8.0272,8.21683,8.230326000000002,7.6733,8.2337,0.13159999999999883,7.851100000000001,8.1088,1083744,2116.69,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,flat,15,3.1568,3.35316,3.403112,2.9532,3.4156,0.07699999999999996,3.0494,3.2147,1048608,2048.06,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,flat_assume_mapped,15,3.1366,3.6424899999999987,4.362818,2.8477,4.5429,0.07279999999999998,3.0775000000000006,3.2094,1048608,2048.06,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_bounded,15,5.5382,5.83517,5.845194,5.1562,5.8477,0.10060000000000002,5.4376,5.6263,2248,4.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_bounded_assume_mapped,15,2.2977,2.4730999999999996,2.61198,2.1836,2.6467,0.061900000000000066,2.2438,2.3821,2248,4.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_bounded_branchless,15,3.1249,3.792489999999998,4.641057999999999,2.967,4.8532,0.07850000000000001,3.0192,3.2034,2256,4.41,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_bounded_trusted,15,2.3191,2.6977999999999995,2.78124,2.1653,2.8021,0.13980000000000015,2.1734,2.4517,2248,4.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_overlay_checked,15,4.5495,5.5138599999999975,6.712931999999999,4.3665,7.0127,0.07840000000000025,4.4746,4.6868,2248,4.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_overlay_trusted,15,2.2722,2.4785899999999996,2.6607579999999995,2.163,2.7063,0.03330000000000011,2.2389,2.3307,2248,4.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,memx_sparse,15,5.6553,6.15549,6.402618,5.3611,6.4644,0.10779999999999923,5.5469,5.7631,196808,384.39,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,radix,15,7.0582,7.5622799999999994,7.653896,6.7156,7.6768,0.14610000000000056,6.8187,7.1746,1083488,2116.19,0x9db2929b7fb88c91
uniform-d0-r256-rs21-gs12,two_level,15,4.3584,5.0978699999999995,5.437174000000001,3.9247,5.522,0.13890000000000047,4.1764,4.4432,1052744,2056.14,0x9db2929b7fb88c91
