case,structure,runs,median_ns,p95_ns,p99_ns,min_ns,max_ns,mad_ns,median_ci_low_ns,median_ci_high_ns,metadata_bytes,bytes_per_managed_mib,checksum,overlay_reserved_bytes,overlay_rss_median_bytes,overlay_private_median_bytes,overlay_shared_median_bytes,memory_category
random-d100-r256-rs21-gs12,cached_radix,15,7.5329,7.85671,8.084462,7.1467,8.1414,0.18179999999999996,7.3911,7.7193,17834240,34832.5,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,flat,15,3.0015,4.502969999999998,5.361393999999998,2.8512,5.576,0.0754999999999999,2.9325,3.0425,1052672,2056.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,flat_assume_mapped,15,2.8917,4.16271,4.413982,2.7201,4.4768,0.12970000000000015,2.762,3.2207,1052672,2056.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_bounded,15,4.8595,5.25256,5.548352,4.6047,5.6223,0.13919999999999977,4.7066,4.9759,1056768,2064.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_bounded_assume_mapped,15,3.7208,4.381279999999999,4.602256,3.5135,4.6575,0.11459999999999981,3.6376,3.8354,1056768,2064.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_bounded_branchless,15,4.809,5.457139999999999,5.758868,4.4813,5.8343,0.17710000000000026,4.6319,4.9048,1056776,2064.02,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_bounded_trusted,15,3.5934,3.9393999999999996,4.11244,3.391,4.1557,0.10030000000000028,3.4731,3.6729,1056768,2064.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_flat_fallback,15,2.8175,3.2717199999999997,3.404664,2.6663,3.4379,0.08440000000000003,2.7214,2.8734,1052672,2056.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_overlay_checked,15,5.0196,5.55701,5.712522,4.8072,5.7514,0.09260000000000002,4.929,5.2024,1056768,2064.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,memx_overlay_trusted,15,3.3389,4.544319999999997,5.642143999999999,3.1316,5.9166,0.15420000000000034,3.1934,3.5698,1056768,2064.0,0xb7a9108205ed60d6,1056768,1048576,1048576,0,page_accounted_backing
